source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,weak,4,512.0,0.05,,0.9721450380484263,0.9749010801315308,0.9181458950042725,0.9982349634170532,1.0,30
internal,delta,Your paired delta,weak,4,2048.0,0.05,,0.534027039806048,0.531974458694458,0.4217134952545166,0.6615538358688354,1.0,30
internal,rand_pair,Your random-pair,weak,4,512.0,0.05,,0.18552492827177045,0.18056915551424024,0.1559169441461563,0.22970418930053707,0.0,30
internal,rand_pair,Your random-pair,weak,4,2048.0,0.05,,0.1634240078926086,0.1625860527157783,0.13975234031677244,0.19063959121704097,0.0,30
internal,std_L1,Your L1 mixed,weak,4,512.0,0.05,,0.1945382843414942,0.19404539018869393,0.15680818855762477,0.252295982837677,0.0,30
internal,std_L1,Your L1 mixed,weak,4,2048.0,0.05,,0.16072450915972386,0.1584252074360847,0.13955078721046443,0.18628846108913416,0.0,30
internal,topK20,Your TopK mixed,weak,4,512.0,0.05,,0.17538966129223504,0.17207883447408673,0.13071729838848106,0.2440025150775909,0.0,30
internal,topK20,Your TopK mixed,weak,4,2048.0,0.05,,0.17348466664552684,0.17287152260541913,0.1354610532522201,0.22581208944320674,0.0,30
public_sae,public_sae,Public JB SAE,weak,4,,,blocks.5.hook_resid_pre,0.33845570087432864,0.3381814807653427,0.25526025891304016,0.4169234335422516,0.9,10
internal,delta,Your paired delta,strong,4,512.0,0.05,,0.9831372453106775,0.986410915851593,0.9324795246124268,0.9999999165534973,1.0,18
internal,delta,Your paired delta,strong,4,2048.0,0.05,,0.6688942405912611,0.6584408044815063,0.5327700495719909,0.8291301131248474,1.0,18
internal,rand_pair,Your random-pair,strong,4,512.0,0.05,,0.2351449112097422,0.23499691784381865,0.18025661110877986,0.2748991191387176,0.0,18
internal,rand_pair,Your random-pair,strong,4,2048.0,0.05,,0.20875153326325943,0.21064209342002865,0.16144705712795254,0.2649903178215027,0.0,18
internal,std_L1,Your L1 mixed,strong,4,512.0,0.05,,0.28673999889029395,0.2849616765975952,0.18527362942695613,0.3874331474304199,0.3333333333333333,18
internal,std_L1,Your L1 mixed,strong,4,2048.0,0.05,,0.2280011478397581,0.21881777346134182,0.16422929763793942,0.32542180418968203,0.1111111111111111,18
internal,topK20,Your TopK mixed,strong,4,512.0,0.05,,0.2411403147710694,0.23499473929405207,0.18069509267807005,0.3887915790081024,0.05555555555555555,18
internal,topK20,Your TopK mixed,strong,4,2048.0,0.05,,0.20847833404938376,0.20410869121551511,0.16342238485813138,0.26689994335174555,0.0,18
public_sae,public_sae,Public JB SAE,strong,4,,,blocks.5.hook_resid_pre,0.5037449796994528,0.5251564681529999,0.44189968705177307,0.5476490259170532,1.0,6
internal,delta,Your paired delta,random,4,512.0,0.05,,0.9550544846057891,0.9605258703231812,0.8684840083122254,0.9999998927116394,1.0,30
internal,delta,Your paired delta,random,4,2048.0,0.05,,0.5640541630983352,0.5546398162841797,0.45374021530151365,0.7275973200798035,1.0,30
internal,rand_pair,Your random-pair,random,4,512.0,0.05,,0.1125708262622356,0.11041119918227192,0.09201055914163586,0.1336922526359558,0.0,30
internal,rand_pair,Your random-pair,random,4,2048.0,0.05,,0.1272155357400576,0.12476583942770951,0.10578090995550152,0.17360982894897456,0.0,30
internal,std_L1,Your L1 mixed,random,4,512.0,0.05,,0.12001102268695826,0.11855602413415905,0.09621376544237134,0.14863876998424524,0.0,30
