condition,final_allocation,final_grad_ratio,final_target_explained,final_selectivity,mean_recovery,order
std_L1_mixed,0.17841232866048812,0.37179899941174355,-30.824050934336423,-0.011481476948145275,0.05665123907158913,0
topK_mixed,0.18548893928527832,0.48355603337366804,-207.5368028168652,-0.12551726810848127,0.054654055715984175,1
paired_delta,0.9819110453128814,32.896033018835155,0.9979689754690574,0.999935173369604,0.9937734874153916,2
random_pair,0.1803949236869812,0.4069028358770021,-240.58246172256273,-0.02036383132163689,0.05725450023320263,3
