direction_group,concept_id,target,baseline,domain,snr,raw_direction_norm
strong,0,sports,ordinary topic,common_baseline,3.734,81.1883316040039
strong,1,technology,ordinary topic,common_baseline,3.602,71.44081115722656
strong,2,science,ordinary topic,common_baseline,3.576,72.91613006591797
strong,3,music,ordinary topic,common_baseline,3.615,73.15555572509766
strong,4,weather,ordinary topic,common_baseline,3.662,76.32135772705078
strong,5,food,ordinary topic,common_baseline,3.682,68.98280334472656
