source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,strong,8,512.0,0.05,,0.982411577966478,0.986087155342102,0.9613389253616333,0.9942443013191223,1.0,18
internal,delta,Your paired delta,strong,8,2048.0,0.05,,0.6588176806767782,0.6539534330368042,0.5381439447402954,0.7782353639602662,1.0,18
internal,rand_pair,Your random-pair,strong,8,512.0,0.05,,0.2406473105152448,0.24631034731864926,0.1805985271930694,0.301704454421997,0.05555555555555555,18
internal,rand_pair,Your random-pair,strong,8,2048.0,0.05,,0.19902974085675343,0.19912527799606317,0.15690818130969997,0.24317564368247985,0.0,18
internal,std_L1,Your L1 mixed,strong,8,512.0,0.05,,0.27727776053878994,0.27132252752780917,0.1883629769086837,0.3869269251823425,0.2777777777777778,18
internal,std_L1,Your L1 mixed,strong,8,2048.0,0.05,,0.2205869027309947,0.22134390324354167,0.17454855740070344,0.2892812609672546,0.0,18
internal,topK20,Your TopK mixed,strong,8,512.0,0.05,,0.29635947148005165,0.2863910883665085,0.15949836075305934,0.4287525713443756,0.4444444444444444,18
internal,topK20,Your TopK mixed,strong,8,2048.0,0.05,,0.26133102460039986,0.2637418359518051,0.19675301313400265,0.3416149020195007,0.2222222222222222,18
public_sae,public_sae,Public JB SAE,strong,8,,,blocks.9.hook_resid_pre,0.3618970414002736,0.35492612421512604,0.25755563378334045,0.4563028812408447,0.8333333333333334,6
