source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,rand_pair,Your random-pair,random,8,0,0.05,512,3,random_3,0.10414619296789165
internal,rand_pair,Your random-pair,random,8,0,0.05,512,4,random_4,0.11125901937484736
internal,rand_pair,Your random-pair,random,8,0,0.05,512,5,random_5,0.1345222204923629
internal,rand_pair,Your random-pair,random,8,0,0.05,512,6,random_6,0.1097756758332252
internal,rand_pair,Your random-pair,random,8,0,0.05,512,7,random_7,0.1407353818416595
internal,rand_pair,Your random-pair,random,8,0,0.05,512,8,random_8,0.09805747866630551
internal,rand_pair,Your random-pair,random,8,0,0.05,512,9,random_9,0.11523978561162944
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,0,random_0,0.1634558409452438
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,1,random_1,0.1196397095918655
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,2,random_2,0.11709100902080531
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,3,random_3,0.12705462276935575
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,4,random_4,0.10806312859058373
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,5,random_5,0.12208371460437772
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,6,random_6,0.1333543330430984
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,7,random_7,0.13554116487503048
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,8,random_8,0.11392204761505123
internal,std_L1,Your L1 mixed,random,8,1,0.05,2048,9,random_9,0.1434472501277923
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,0,random_0,0.13200322091579436
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,1,random_1,0.1225067526102066
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,2,random_2,0.14585967063903804
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,3,random_3,0.13427464962005614
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,4,random_4,0.12062686681747434
