source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,delta,Your paired delta,strong,10,1.0,0.05,2048.0,4,weather,0.6681731224060059,,
internal,delta,Your paired delta,strong,10,1.0,0.05,2048.0,5,food,0.6096503615379334,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,2048.0,0,sports,0.21148035824298855,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,2048.0,1,technology,0.2571644783020019,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,2048.0,2,science,0.25281709432601923,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,2048.0,3,music,0.1855520755052566,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,2048.0,4,weather,0.19004110395908352,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,2048.0,5,food,0.18825781643390652,,
internal,std_L1,Your L1 mixed,strong,10,1.0,0.05,512.0,0,sports,0.28923358321189874,,
internal,std_L1,Your L1 mixed,strong,10,1.0,0.05,512.0,1,technology,0.3140341281890869,,
internal,std_L1,Your L1 mixed,strong,10,1.0,0.05,512.0,2,science,0.3966653823852539,,
internal,std_L1,Your L1 mixed,strong,10,1.0,0.05,512.0,3,music,0.28663693666458123,,
internal,std_L1,Your L1 mixed,strong,10,1.0,0.05,512.0,4,weather,0.33500194549560547,,
internal,std_L1,Your L1 mixed,strong,10,1.0,0.05,512.0,5,food,0.22349848449230195,,
internal,topK20,Your TopK mixed,strong,10,1.0,0.05,512.0,0,sports,0.295920193195343,,
internal,topK20,Your TopK mixed,strong,10,1.0,0.05,512.0,1,technology,0.3724932253360748,,
internal,topK20,Your TopK mixed,strong,10,1.0,0.05,512.0,2,science,0.30890826582908626,,
internal,topK20,Your TopK mixed,strong,10,1.0,0.05,512.0,3,music,0.7226616740226746,,
internal,topK20,Your TopK mixed,strong,10,1.0,0.05,512.0,4,weather,0.24405851960182184,,
internal,topK20,Your TopK mixed,strong,10,1.0,0.05,512.0,5,food,0.2370586603879928,,
internal,delta,Your paired delta,strong,10,1.0,0.05,512.0,0,sports,0.9851360440254211,,
internal,delta,Your paired delta,strong,10,1.0,0.05,512.0,1,technology,0.9774297833442688,,
