condition,final_allocation,final_grad_ratio,final_target_explained,final_selectivity,mean_recovery,order
std_L1_mixed,0.2888941839337349,0.4572526973510622,-88.37594549349171,-0.032804372815607094,0.06256299964510213,0
topK_mixed,0.28886857628822327,1.3227227197671199,-865.1132897281519,0.01695324230515642,0.05849792881487368,1
paired_delta,0.9938276509443918,58.65949670697529,0.9995099690135071,0.99998446307999,0.9938725972866332,2
random_pair,0.24723183115323386,0.38633556651786494,-361.4942981006906,-0.006835923395128563,0.051699651619224296,3
