source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,strong,4,512.0,0.05,,0.9831372453106775,0.986410915851593,0.9324795246124268,0.9999999165534973,1.0,18
internal,delta,Your paired delta,strong,4,2048.0,0.05,,0.6688942405912611,0.6584408044815063,0.5327700495719909,0.8291301131248474,1.0,18
internal,rand_pair,Your random-pair,strong,4,512.0,0.05,,0.2351449112097422,0.23499691784381865,0.18025661110877986,0.2748991191387176,0.0,18
internal,rand_pair,Your random-pair,strong,4,2048.0,0.05,,0.20875153326325943,0.21064209342002865,0.16144705712795254,0.2649903178215027,0.0,18
internal,std_L1,Your L1 mixed,strong,4,512.0,0.05,,0.28673999889029395,0.2849616765975952,0.18527362942695613,0.3874331474304199,0.3333333333333333,18
internal,std_L1,Your L1 mixed,strong,4,2048.0,0.05,,0.2280011478397581,0.21881777346134182,0.16422929763793942,0.32542180418968203,0.1111111111111111,18
internal,topK20,Your TopK mixed,strong,4,512.0,0.05,,0.2411403147710694,0.23499473929405207,0.18069509267807005,0.3887915790081024,0.05555555555555555,18
internal,topK20,Your TopK mixed,strong,4,2048.0,0.05,,0.20847833404938376,0.20410869121551511,0.16342238485813138,0.26689994335174555,0.0,18
public_sae,public_sae,Public JB SAE,strong,4,,,blocks.5.hook_resid_pre,0.5037449796994528,0.5251564681529999,0.44189968705177307,0.5476490259170532,1.0,6
