source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,strong,10,512.0,0.05,,0.989031974474589,0.9922183632850647,0.9722372055053711,0.9987633228302002,1.0,18
internal,delta,Your paired delta,strong,10,2048.0,0.05,,0.6326139602396224,0.631124383211136,0.5284529447555542,0.7443595647811889,1.0,18
internal,rand_pair,Your random-pair,strong,10,512.0,0.05,,0.24746004723840287,0.2585861772298813,0.15840612351894373,0.3259561777114868,0.05555555555555555,18
internal,rand_pair,Your random-pair,strong,10,2048.0,0.05,,0.20269814779361084,0.19862838238477704,0.1524063557386398,0.2571644783020019,0.0,18
internal,std_L1,Your L1 mixed,strong,10,512.0,0.05,,0.3014763500955369,0.3119398325681686,0.22349848449230195,0.3966653823852539,0.5555555555555556,18
internal,std_L1,Your L1 mixed,strong,10,2048.0,0.05,,0.22967723525232733,0.2252669051289558,0.1546055138111114,0.2945666909217834,0.0,18
internal,topK20,Your TopK mixed,strong,10,512.0,0.05,,0.3170816113551458,0.30182895064353943,0.18647882938385005,0.7226616740226746,0.5,18
internal,topK20,Your TopK mixed,strong,10,2048.0,0.05,,0.3359923778308762,0.33404971361160274,0.2025176078081131,0.49308180809020985,0.7777777777777778,18
public_sae,public_sae,Public JB SAE,strong,10,,,blocks.11.hook_resid_pre,0.5635287761688232,0.5830846428871155,0.41105157136917114,0.6938856840133667,1.0,6
