source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,topK20,Your TopK mixed,random,10,0.0,0.05,512.0,5,random_5,0.10035232454538341,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,512.0,6,random_6,0.1287711530923843,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,512.0,7,random_7,0.11468532085418695,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,512.0,8,random_8,0.1027009412646293,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,512.0,9,random_9,0.12409678846597667,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,0,random_0,0.9311280488967896,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,1,random_1,0.9420087695121765,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,2,random_2,0.9417472362518311,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,3,random_3,0.9602148652076721,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,4,random_4,0.9999516487121582,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,5,random_5,0.9344998955726623,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,6,random_6,0.9850961923599243,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,7,random_7,0.9835596561431885,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,8,random_8,0.9886201381683349,,
internal,delta,Your paired delta,random,10,0.0,0.05,512.0,9,random_9,0.9474881529808045,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,0,random_0,0.10671145617961879,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,1,random_1,0.11572956740856163,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,2,random_2,0.11498254090547558,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,3,random_3,0.13054463565349575,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,4,random_4,0.1250577718019485,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,5,random_5,0.10479677766561504,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,6,random_6,0.10511647015810008,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,7,random_7,0.11616662740707392,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,8,random_8,0.10574178546667094,,
internal,rand_pair,Your random-pair,random,10,0.0,0.05,512.0,9,random_9,0.11677179336547847,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,0,random_0,0.12035495340824123,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,1,random_1,0.1304492264986038,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,2,random_2,0.14693814218044277,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,3,random_3,0.1570808261632919,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,4,random_4,0.12994811534881587,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,5,random_5,0.11687748730182641,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,6,random_6,0.1309593945741653,,
