source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,random,4,512.0,0.05,,0.9550544846057891,0.9605258703231812,0.8684840083122254,0.9999998927116394,1.0,30
internal,delta,Your paired delta,random,4,2048.0,0.05,,0.5640541630983352,0.5546398162841797,0.45374021530151365,0.7275973200798035,1.0,30
internal,rand_pair,Your random-pair,random,4,512.0,0.05,,0.1125708262622356,0.11041119918227192,0.09201055914163586,0.1336922526359558,0.0,30
internal,rand_pair,Your random-pair,random,4,2048.0,0.05,,0.1272155357400576,0.12476583942770951,0.10578090995550152,0.17360982894897456,0.0,30
internal,std_L1,Your L1 mixed,random,4,512.0,0.05,,0.12001102268695826,0.11855602413415905,0.09621376544237134,0.14863876998424524,0.0,30
internal,std_L1,Your L1 mixed,random,4,2048.0,0.05,,0.13294734716415402,0.13155062645673749,0.1134676158428192,0.15985234379768368,0.0,30
internal,topK20,Your TopK mixed,random,4,512.0,0.05,,0.11824851711591082,0.11350851878523821,0.0943907722830772,0.1598017275333404,0.0,30
internal,topK20,Your TopK mixed,random,4,2048.0,0.05,,0.12747337097922956,0.12699117511510843,0.10723629891872402,0.14609257578849788,0.0,30
public_sae,public_sae,Public JB SAE,random,4,,,blocks.5.hook_resid_pre,0.14801652282476424,0.14660260826349258,0.13902318477630615,0.1699812114238739,0.0,10
