source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,random,8,512.0,0.05,,0.9578396141529083,0.9583836674690247,0.8941853523254395,0.9955761432647705,1.0,30
internal,delta,Your paired delta,random,8,2048.0,0.05,,0.5472494326035182,0.5257845461368561,0.44490018486976624,0.6759289026260376,1.0,30
internal,rand_pair,Your random-pair,random,8,512.0,0.05,,0.11593956341346101,0.11291200593113895,0.09356561303138726,0.14707452654838557,0.0,30
internal,rand_pair,Your random-pair,random,8,2048.0,0.05,,0.131518177340428,0.13471642881631846,0.10720501244068141,0.15407024025917052,0.0,30
internal,std_L1,Your L1 mixed,random,8,512.0,0.05,,0.11568704634904857,0.11245574057102199,0.0873882412910461,0.14932095110416407,0.0,30
internal,std_L1,Your L1 mixed,random,8,2048.0,0.05,,0.12739972516894335,0.12582920491695399,0.10806312859058373,0.1634558409452438,0.0,30
internal,topK20,Your TopK mixed,random,8,512.0,0.05,,0.11248667667309438,0.11033833101391789,0.09614159464836117,0.13868937194347378,0.0,30
internal,topK20,Your TopK mixed,random,8,2048.0,0.05,,0.12872286682327586,0.12627343535423274,0.10888886451721189,0.17220566570758813,0.0,30
public_sae,public_sae,Public JB SAE,random,8,,,blocks.9.hook_resid_pre,0.15092487037181854,0.14986705034971237,0.13612565398216248,0.1785077154636383,0.0,10
