source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,delta,Your paired delta,strong,4,1.0,0.05,2048.0,4,weather,0.5812737584114075,,
internal,delta,Your paired delta,strong,4,1.0,0.05,2048.0,5,food,0.7772924065589905,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,2048.0,0,sports,0.22586153149604798,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,2048.0,1,technology,0.20306398570537568,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,2048.0,2,science,0.18926188647747036,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,2048.0,3,music,0.20711523294448847,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,2048.0,4,weather,0.19512071907520287,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,2048.0,5,food,0.16144705712795254,,
internal,std_L1,Your L1 mixed,strong,4,1.0,0.05,512.0,0,sports,0.28979408144950863,,
internal,std_L1,Your L1 mixed,strong,4,1.0,0.05,512.0,1,technology,0.26417927742004393,,
internal,std_L1,Your L1 mixed,strong,4,1.0,0.05,512.0,2,science,0.29040545225143427,,
internal,std_L1,Your L1 mixed,strong,4,1.0,0.05,512.0,3,music,0.32957288026809695,,
internal,std_L1,Your L1 mixed,strong,4,1.0,0.05,512.0,4,weather,0.3874331474304199,,
internal,std_L1,Your L1 mixed,strong,4,1.0,0.05,512.0,5,food,0.213793334364891,,
internal,topK20,Your TopK mixed,strong,4,1.0,0.05,512.0,0,sports,0.20716836452484128,,
internal,topK20,Your TopK mixed,strong,4,1.0,0.05,512.0,1,technology,0.3887915790081024,,
internal,topK20,Your TopK mixed,strong,4,1.0,0.05,512.0,2,science,0.273776650428772,,
internal,topK20,Your TopK mixed,strong,4,1.0,0.05,512.0,3,music,0.2951781094074249,,
internal,topK20,Your TopK mixed,strong,4,1.0,0.05,512.0,4,weather,0.19347308278083797,,
internal,topK20,Your TopK mixed,strong,4,1.0,0.05,512.0,5,food,0.19881372749805445,,
internal,delta,Your paired delta,strong,4,1.0,0.05,512.0,0,sports,0.9889612793922424,,
internal,delta,Your paired delta,strong,4,1.0,0.05,512.0,1,technology,0.9927546858787538,,
internal,delta,Your paired delta,strong,4,1.0,0.05,512.0,2,science,0.9761633276939392,,
internal,delta,Your paired delta,strong,4,1.0,0.05,512.0,3,music,0.9999999165534973,,
internal,delta,Your paired delta,strong,4,1.0,0.05,512.0,4,weather,0.9935271859169006,,
internal,delta,Your paired delta,strong,4,1.0,0.05,512.0,5,food,0.9862091541290283,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,512.0,0,sports,0.22894470989704133,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,512.0,1,technology,0.24707317054271694,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,512.0,2,science,0.2748991191387176,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,512.0,3,music,0.22047900259494776,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,512.0,4,weather,0.22841841280460354,,
internal,rand_pair,Your random-pair,strong,4,1.0,0.05,512.0,5,food,0.18025661110877986,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,2048.0,0,sports,0.2082817435264587,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,2048.0,1,technology,0.2704359650611877,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,2048.0,2,science,0.22028593122959134,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,2048.0,3,music,0.2070265918970108,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,2048.0,4,weather,0.23077524304389954,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,2048.0,5,food,0.16422929763793942,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,2048.0,0,sports,0.23045620322227472,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,2048.0,1,technology,0.2427009642124176,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,2048.0,2,science,0.20335336327552792,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,2048.0,3,music,0.2048640191555023,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,2048.0,4,weather,0.18888951539993282,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,2048.0,5,food,0.22002916932106015,,
internal,delta,Your paired delta,strong,4,2.0,0.05,2048.0,0,sports,0.6607846736907959,,
internal,delta,Your paired delta,strong,4,2.0,0.05,2048.0,1,technology,0.537492835521698,,
internal,delta,Your paired delta,strong,4,2.0,0.05,2048.0,2,science,0.5833988547325134,,
internal,delta,Your paired delta,strong,4,2.0,0.05,2048.0,3,music,0.7597714185714721,,
internal,delta,Your paired delta,strong,4,2.0,0.05,2048.0,4,weather,0.6192395210266113,,
internal,delta,Your paired delta,strong,4,2.0,0.05,2048.0,5,food,0.6560969352722168,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,2048.0,0,sports,0.22211048603057856,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,2048.0,1,technology,0.2141689538955688,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,2048.0,2,science,0.24465958178043362,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,2048.0,3,music,0.2205684125423431,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,2048.0,4,weather,0.2071022361516952,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,2048.0,5,food,0.1661287188529968,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,512.0,0,sports,0.27500808238983154,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,512.0,1,technology,0.3209447741508484,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,512.0,2,science,0.3412806749343872,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,512.0,3,music,0.3252370059490204,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,512.0,4,weather,0.267458438873291,,
internal,std_L1,Your L1 mixed,strong,4,2.0,0.05,512.0,5,food,0.23637619018554687,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,512.0,0,sports,0.2311494410037994,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,512.0,1,technology,0.25607714354991906,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,512.0,2,science,0.2625698029994964,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,512.0,3,music,0.19238893091678616,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,512.0,4,weather,0.21668687462806696,,
internal,topK20,Your TopK mixed,strong,4,2.0,0.05,512.0,5,food,0.18950500488281247,,
internal,delta,Your paired delta,strong,4,2.0,0.05,512.0,0,sports,0.9817070126533508,,
internal,delta,Your paired delta,strong,4,2.0,0.05,512.0,1,technology,0.9866126775741577,,
internal,delta,Your paired delta,strong,4,2.0,0.05,512.0,2,science,0.9856535792350769,,
internal,delta,Your paired delta,strong,4,2.0,0.05,512.0,3,music,0.9963330507278443,,
internal,delta,Your paired delta,strong,4,2.0,0.05,512.0,4,weather,0.9895294308662415,,
internal,delta,Your paired delta,strong,4,2.0,0.05,512.0,5,food,0.9855203032493591,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,512.0,0,sports,0.22824470400810237,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,512.0,1,technology,0.24206760227680202,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,512.0,2,science,0.2505376875400543,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,512.0,3,music,0.2681044280529022,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,512.0,4,weather,0.23699038028717037,,
internal,rand_pair,Your random-pair,strong,4,2.0,0.05,512.0,5,food,0.20643687248229975,,
public_sae,public_sae,Public JB SAE,strong,4,,,,0,sports,0.5476490259170532,blocks.5.hook_resid_pre,10567.0
public_sae,public_sae,Public JB SAE,strong,4,,,,1,technology,0.5278722047805786,blocks.5.hook_resid_pre,4683.0
public_sae,public_sae,Public JB SAE,strong,4,,,,2,science,0.45291343331336975,blocks.5.hook_resid_pre,17886.0
public_sae,public_sae,Public JB SAE,strong,4,,,,3,music,0.5296947956085205,blocks.5.hook_resid_pre,18664.0
public_sae,public_sae,Public JB SAE,strong,4,,,,4,weather,0.44189968705177307,blocks.5.hook_resid_pre,19631.0
public_sae,public_sae,Public JB SAE,strong,4,,,,5,food,0.5224407315254211,blocks.5.hook_resid_pre,11197.0
