source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,weak,8,512.0,0.05,,0.9603795138994852,0.9629182934761047,0.9192065238952637,0.9999541878700257,1.0,30
internal,delta,Your paired delta,weak,8,2048.0,0.05,,0.5428823737303416,0.5228484511375427,0.46294633150100706,0.6815284132957459,1.0,30
internal,rand_pair,Your random-pair,weak,8,512.0,0.05,,0.18655634055534995,0.18294190168380733,0.14663214087486262,0.2422889709472656,0.0,30
internal,rand_pair,Your random-pair,weak,8,2048.0,0.05,,0.17008454153935113,0.1698535621166229,0.14547266662120814,0.1937362134456634,0.0,30
internal,std_L1,Your L1 mixed,weak,8,512.0,0.05,,0.18235907802979148,0.18175397515296932,0.13745652139186854,0.22914787828922267,0.0,30
internal,std_L1,Your L1 mixed,weak,8,2048.0,0.05,,0.1575183072686195,0.16047840863466262,0.12920159697532646,0.19000951945781702,0.0,30
internal,topK20,Your TopK mixed,weak,8,512.0,0.05,,0.17262544780969616,0.17019960731267925,0.1397758454084396,0.21576980352401734,0.0,30
internal,topK20,Your TopK mixed,weak,8,2048.0,0.05,,0.1758171612024307,0.16728556901216501,0.1396543681621551,0.2516722619533539,0.0,30
public_sae,public_sae,Public JB SAE,weak,8,,,blocks.9.hook_resid_pre,0.27776993811130524,0.28579944372177124,0.18662631511688232,0.36695390939712524,0.4,10
