source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,weak,4,512.0,0.05,,0.9721450380484263,0.9749010801315308,0.9181458950042725,0.9982349634170532,1.0,30
internal,delta,Your paired delta,weak,4,2048.0,0.05,,0.534027039806048,0.531974458694458,0.4217134952545166,0.6615538358688354,1.0,30
internal,rand_pair,Your random-pair,weak,4,512.0,0.05,,0.18552492827177045,0.18056915551424024,0.1559169441461563,0.22970418930053707,0.0,30
internal,rand_pair,Your random-pair,weak,4,2048.0,0.05,,0.1634240078926086,0.1625860527157783,0.13975234031677244,0.19063959121704097,0.0,30
internal,std_L1,Your L1 mixed,weak,4,512.0,0.05,,0.1945382843414942,0.19404539018869393,0.15680818855762477,0.252295982837677,0.0,30
internal,std_L1,Your L1 mixed,weak,4,2048.0,0.05,,0.16072450915972386,0.1584252074360847,0.13955078721046443,0.18628846108913416,0.0,30
internal,topK20,Your TopK mixed,weak,4,512.0,0.05,,0.17538966129223504,0.17207883447408673,0.13071729838848106,0.2440025150775909,0.0,30
internal,topK20,Your TopK mixed,weak,4,2048.0,0.05,,0.17348466664552684,0.17287152260541913,0.1354610532522201,0.22581208944320674,0.0,30
public_sae,public_sae,Public JB SAE,weak,4,,,blocks.5.hook_resid_pre,0.33845570087432864,0.3381814807653427,0.25526025891304016,0.4169234335422516,0.9,10
