source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,random,10,512.0,0.05,,0.962470794916153,0.9660893738269807,0.9110775709152221,0.9999562740325928,1.0,30
internal,delta,Your paired delta,random,10,2048.0,0.05,,0.5460584086179734,0.5493213176727295,0.47025238871574404,0.6631577253341675,1.0,30
internal,rand_pair,Your random-pair,random,10,512.0,0.05,,0.11454572906096772,0.11471351534128185,0.09055161774158473,0.13670828640460964,0.0,30
internal,rand_pair,Your random-pair,random,10,2048.0,0.05,,0.13074121688803034,0.1275944724678993,0.11728636771440501,0.16215474307537076,0.0,30
internal,std_L1,Your L1 mixed,random,10,512.0,0.05,,0.1149588057895501,0.1172016248106956,0.09003751873970026,0.1406999230384826,0.0,30
internal,std_L1,Your L1 mixed,random,10,2048.0,0.05,,0.13021665523449577,0.1300293996930122,0.11687748730182641,0.1570808261632919,0.0,30
internal,topK20,Your TopK mixed,random,10,512.0,0.05,,0.11813895955681798,0.11636266559362407,0.10035232454538341,0.14849244058132166,0.0,30
internal,topK20,Your TopK mixed,random,10,2048.0,0.05,,0.12957664052645362,0.12839859426021574,0.10836145579814908,0.1500402420759201,0.0,30
public_sae,public_sae,Public JB SAE,random,10,,,blocks.11.hook_resid_pre,0.1423449546098709,0.14272325485944748,0.12695135176181793,0.16203708946704865,0.0,10
