condition,final_allocation,final_grad_ratio,final_target_explained,final_selectivity,mean_recovery,order
std_L1_mixed,0.12030909508466721,0.1024334157308043,-10.350334203411986,-0.011446635313200577,0.05681636545197494,0
topK_mixed,0.11334570124745369,0.30783573446544316,-36.68864974774273,-0.029162427775642995,0.05362024727558179,1
paired_delta,0.9684984624385834,28.69193248089448,0.9972902559847112,0.9999579224682267,0.9938059138622778,2
random_pair,0.11551008820533752,0.21617749214145757,-92.77687362200746,-0.005773996153421055,0.05737675653012235,3
