concept_id,concept,best_decoder_latent,max_dec_cos,n_positive_probe,target_signal_variance,target_residual_variance,target_residual_explained,best_latent_pos_activation,best_latent_neg_activation,best_latent_selectivity,best_latent_pos_neg_ratio,max_dec_grad_proj,mean_dec_grad_proj,best_grad_latent,max_dec_grad_norm,mean_dec_grad_norm,target_total_grad_ratio,condition,step,loss,recon_loss,l1_loss,l1_coef,group,layer,scale,seed,sae_latents
0,random_0,349,0.13603998720645905,274,3.3235242881346494e-05,0.665655255317688,-20027.595478166222,0.24910341203212738,0.24689652025699615,0.0044493790965903085,1.0089384884138877,0.0004586189170368016,0.00013307444169186056,286,0.02076542004942894,0.006820532958954573,0.06724092086784024,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
1,random_1,142,0.11755109578371048,303,3.307788210804574e-05,0.4573499858379364,-13825.458735102437,0.25385522842407227,0.24244843423366547,0.022983497440836356,1.0470482878389322,0.0007771563832648098,0.00014610351354349405,294,0.02076542004942894,0.006820532958954573,0.11394364455501231,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
2,random_2,376,0.10736964643001556,309,3.466136331553571e-05,1.0416924953460693,-30052.418724754814,0.15585173666477203,0.18328788876533508,-0.08089927933598116,0.8503111100875799,0.0011201441520825028,0.00021664002269972116,128,0.02076542004942894,0.006820532958954573,0.16423117645779448,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
3,random_3,13,0.10702963173389435,311,3.5080120142083615e-05,1.0630031824111938,-30301.152552602496,0.17892052233219147,0.17959414422512054,-0.0018789241751484957,0.996249143543477,0.0008340056519955397,0.00017698922601994127,431,0.02076542004942894,0.006820532958954573,0.1222786631033441,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
4,random_4,8,0.11669932305812836,287,3.273486072430387e-05,1.237730622291565,-37809.7790011716,0.23631687462329865,0.22616562247276306,0.02194948348268463,1.044884105686385,0.0008458939846605062,0.00016089739801827818,233,0.02076542004942894,0.006820532958954573,0.12402168417439041,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
5,random_5,209,0.11896497756242752,294,3.299918171251193e-05,1.4448180198669434,-43782.448591868546,0.23814347386360168,0.23726226389408112,0.001853595531137177,1.0037140332302217,0.001013355446048081,0.00026287377113476396,469,0.02076542004942894,0.006820532958954573,0.14857423195486327,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
6,random_6,402,0.11051391065120697,329,3.1761228456161916e-05,2.316352367401123,-72929.1858606652,0.21981844305992126,0.22840982675552368,-0.01916742892514471,0.9623860608735598,0.0021473648957908154,0.0003497618599794805,380,0.02076542004942894,0.006820532958954573,0.3148382843978101,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
7,random_7,314,0.11129997670650482,310,3.3205331419594586e-05,1.273160696029663,-38341.055424759616,0.1852816492319107,0.1715570092201233,0.03846175099611513,1.08000039913364,0.001289710751734674,0.0002378276694798842,294,0.02076542004942894,0.006820532958954573,0.18909237141832738,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
8,random_8,198,0.12902605533599854,285,2.9909913791925646e-05,0.7114534974098206,-23785.543771829183,0.18291723728179932,0.1864696592092514,-0.009617075930486869,0.9809490093347801,0.0008355362806469202,0.0002830674930009991,233,0.02076542004942894,0.006820532958954573,0.12250307791965939,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
9,random_9,158,0.09895250201225281,298,3.229874710086733e-05,1.2247180938720703,-37917.43851183762,0.19160842895507812,0.19404706358909607,-0.006323349771830665,0.987432716253264,0.0012536706635728478,0.00024865029263310134,294,0.02076542004942894,0.006820532958954573,0.18380831394460379,std_L1_mixed,0,1.0875731706619263,1.0873568058013916,0.21640147268772125,0.001,random,8,0.05,0,512
