concept_id,concept,best_decoder_latent,max_dec_cos,n_positive_probe,target_signal_variance,target_residual_variance,target_residual_explained,best_latent_pos_activation,best_latent_neg_activation,best_latent_selectivity,best_latent_pos_neg_ratio,max_dec_grad_proj,mean_dec_grad_proj,best_grad_latent,max_dec_grad_norm,mean_dec_grad_norm,target_total_grad_ratio,condition,step,loss,recon_loss,l1_loss,l1_coef,group,layer,scale,seed,sae_latents
0,sports,131,0.12059853225946426,518,3.321392068755813e-05,4.864529132843018,-146459.54683344605,0.2843845784664154,0.28231281042099,0.0036558629870066606,1.0073385191729372,0.001484728418290615,0.00037088117096573114,110,0.02076912112534046,0.0068212347105145454,0.21766270786494532,std_L1_mixed,0,1.08761727809906,1.0874009132385254,0.21641655266284943,0.001,strong,8,0.05,0,512
1,technology,385,0.14138005673885345,491,3.24642205669079e-05,4.525599956512451,-139401.69435339177,0.20847786962985992,0.22875837981700897,-0.0463834134268854,0.9113452398254243,0.0022000931203365326,0.00043351942440494895,128,0.02076912112534046,0.0068212347105145454,0.32253590638402724,std_L1_mixed,0,1.08761727809906,1.0874009132385254,0.21641655266284943,0.001,strong,8,0.05,0,512
2,science,30,0.12215174734592438,475,3.3735737815732136e-05,6.9481987953186035,-205958.58586442514,0.25267234444618225,0.2775004804134369,-0.04683026804613388,0.9105293618390938,0.0031264065764844418,0.0005791074363514781,294,0.02076912112534046,0.0068212347105145454,0.4583344084622875,std_L1_mixed,0,1.08761727809906,1.0874009132385254,0.21641655266284943,0.001,strong,8,0.05,0,512
3,music,238,0.14069749414920807,519,3.558028402039781e-05,5.085585117340088,-142931.66943827385,0.22122496366500854,0.23259811103343964,-0.02506075109860973,0.9511038295670668,0.0018940602894872427,0.0004190058680251241,393,0.02076912112534046,0.0068212347105145454,0.2776711797191182,std_L1_mixed,0,1.08761727809906,1.0874009132385254,0.21641655266284943,0.001,strong,8,0.05,0,512
4,weather,313,0.11677047610282898,491,3.063455005758442e-05,2.255706548690796,-73631.76009662084,0.25275376439094543,0.21270975470542908,0.08603039160394717,1.1882565181761695,0.0008103057043626904,0.00020671829406637698,380,0.02076912112534046,0.0068212347105145454,0.11879164676665628,std_L1_mixed,0,1.08761727809906,1.0874009132385254,0.21641655266284943,0.001,strong,8,0.05,0,512
5,food,198,0.12979307770729065,506,3.1923580536386e-05,2.012587547302246,-63042.91457482082,0.1744784563779831,0.18876419961452484,-0.03932837349243659,0.924319587565277,0.001381066394969821,0.0002756844332907349,294,0.02076912112534046,0.0068212347105145454,0.20246574899974046,std_L1_mixed,0,1.08761727809906,1.0874009132385254,0.21641655266284943,0.001,strong,8,0.05,0,512
0,sports,317,0.14345987141132355,518,3.321392068755813e-05,0.12869717180728912,-3873.7960273387057,0.4981219172477722,0.4921857714653015,0.005994243799361403,1.012060762431613,0.0001806063373805955,5.0297530833631754e-05,70,0.001653430750593543,0.0009280722588300705,0.19460374498604713,std_L1_mixed,50,0.03837229683995247,0.03789952024817467,0.47277671098709106,0.001,strong,8,0.05,0,512
1,technology,385,0.15504813194274902,491,3.24642205669079e-05,0.09174881130456924,-2825.15158707802,0.4091964066028595,0.47045013308525085,-0.06963447592002678,0.8697976026095257,0.00016887817764654756,5.272441921988502e-05,46,0.001653430750593543,0.0009280722588300705,0.1819666258287572,std_L1_mixed,50,0.03837229683995247,0.03789952024817467,0.47277671098709106,0.001,strong,8,0.05,0,512
2,science,423,0.15248657763004303,475,3.3735737815732136e-05,0.10780607163906097,-3194.6042886123864,0.3572830557823181,0.346364289522171,0.015517384067225292,1.0315239078485,0.00015971077664289623,4.402355261845514e-05,154,0.001653430750593543,0.0009280722588300705,0.1720887301082991,std_L1_mixed,50,0.03837229683995247,0.03789952024817467,0.47277671098709106,0.001,strong,8,0.05,0,512
3,music,238,0.12541119754314423,519,3.558028402039781e-05,0.10877175629138947,-3056.079397453723,0.4914546310901642,0.45409783720970154,0.039507901187707084,1.082265934775972,0.00014452170580625534,4.620037361746654e-05,46,0.001653430750593543,0.0009280722588300705,0.1557224712574829,std_L1_mixed,50,0.03837229683995247,0.03789952024817467,0.47277671098709106,0.001,strong,8,0.05,0,512
